PlotName,SiteName,SiteCode,Year,POINT_X,POINT_Y,NDMI
Dunphys Pond+F3,Dunphys Pond,DP,2017,-54.12933782,48.4293789,0.262349993
Dunphys Pond+A9,Dunphys Pond,DP,2017,-54.12553872,48.42961691,0.370350003
Dunphys Pond+C8,Dunphys Pond,DP,2017,-54.12667872,48.42978037,0.316599995
Dunphys Pond+I2,Dunphys Pond,DP,2017,-54.13067511,48.42988017,0.444849998
Dunphys Pond+J1,Dunphys Pond,DP,2017,-54.13139018,48.42990701,0.465849996
Dunphys Pond+F5,Dunphys Pond,DP,2017,-54.12863388,48.4298742,0.233050004
Dunphys Pond+A11,Dunphys Pond,DP,2017,-54.12471679,48.43004625,0.300949991
Dunphys Pond+K1,Dunphys Pond,DP,2017,-54.13163102,48.43019195,0.42050001
Dunphys Pond+C10,Dunphys Pond,DP,2017,-54.12593577,48.43024769,0.357849985
Dunphys Pond+I4,Dunphys Pond,DP,2017,-54.1299192,48.43033819,0.369300008
Dunphys Pond+F7,Dunphys Pond,DP,2017,-54.12793043,48.43036051,0.264149994
Dunphys Pond+L2,Dunphys Pond,DP,2017,-54.13164723,48.43062426,0.455749989
Dunphys Pond+A13,Dunphys Pond,DP,2017,-54.12397128,48.43055848,0.331800014
Dunphys Pond+F9,Dunphys Pond,DP,2017,-54.1272761,48.43069508,0.333499998
Dunphys Pond+I6,Dunphys Pond,DP,2017,-54.12925677,48.43081654,0.277850002
Dunphys Pond+C12,Dunphys Pond,DP,2017,-54.12526925,48.43079789,0.295650005
Dunphys Pond+N1,Dunphys Pond,DP,2017,-54.13274863,48.43099364,0.438549995
Dunphys Pond+L4,Dunphys Pond,DP,2017,-54.13089081,48.43109127,0.388799995
Dunphys Pond+B14,Dunphys Pond,DP,2017,-54.12397392,48.43099044,0.333299994
Dunphys Pond+C14,Dunphys Pond,DP,2017,-54.12437826,48.4312525,0.346749991
Dunphys Pond+F11,Dunphys Pond,DP,2017,-54.12649752,48.43131448,0.398299992
Dunphys Pond+N3,Dunphys Pond,DP,2017,-54.13211626,48.43141877,0.415399998
Dunphys Pond+I8,Dunphys Pond,DP,2017,-54.12856277,48.43137507,0.305799991
Dunphys Pond+L6,Dunphys Pond,DP,2017,-54.13006484,48.43159253,0.384550005
Dunphys Pond+F13,Dunphys Pond,DP,2017,-54.12578408,48.43173754,0.334250003
Dunphys Pond+I10,Dunphys Pond,DP,2017,-54.1278193,48.43185138,0.269400001
Dunphys Pond+N5,Dunphys Pond,DP,2017,-54.13154481,48.43196238,0.317149997
Dunphys Pond+L8,Dunphys Pond,DP,2017,-54.12944341,48.4320629,0.350899994
Dunphys Pond+G14,Dunphys Pond,DP,2017,-54.12585121,48.4322251,0.311199993
Dunphys Pond+I12,Dunphys Pond,DP,2017,-54.12703988,48.43224581,0.311749995
Dunphys Pond+N7,Dunphys Pond,DP,2017,-54.13076187,48.43241973,0.352100015
Dunphys Pond+H14,Dunphys Pond,DP,2017,-54.12608106,48.43246479,0.335599989
Dunphys Pond+L10,Dunphys Pond,DP,2017,-54.12864036,48.43263671,0.322649986
Dunphys Pond+N9,Dunphys Pond,DP,2017,-54.13011495,48.43286248,0.338750005
Dunphys Pond+I14,Dunphys Pond,DP,2017,-54.12646482,48.43285229,0.327499986
Dunphys Pond+L12,Dunphys Pond,DP,2017,-54.1279524,48.43308741,0.264299989
Dunphys Pond+N11,Dunphys Pond,DP,2017,-54.12931595,48.43336441,0.305050015
Dunphys Pond+L14,Dunphys Pond,DP,2017,-54.12731591,48.43358439,0.256550014
Dunphys Pond+N13,Dunphys Pond,DP,2017,-54.12855946,48.4338314,0.378399998
Dunphys Pond+M14,Dunphys Pond,DP,2017,-54.12771674,48.43390933,0.306300014
TNNP North+A1,TNNP North,TN,2017,-53.97098243,48.62373909,0.240449995
TNNP North+A3,TNNP North,TN,2017,-53.9717665,48.62391679,0.294950008
TNNP North+A5,TNNP North,TN,2017,-53.97266954,48.62427137,0.287250012
TNNP North+A7,TNNP North,TN,2017,-53.97349692,48.62449293,0.202549994
TNNP North+C2,TNNP North,TN,2017,-53.97070521,48.62456504,0.324000001
TNNP North+A9,TNNP North,TN,2017,-53.97441248,48.62482918,0.282950014
TNNP North+C4,TNNP North,TN,2017,-53.97172918,48.62489851,0.342449993
TNNP North+D1,TNNP North,TN,2017,-53.97012687,48.62488589,0.319099993
TNNP North+C6,TNNP North,TN,2017,-53.97242156,48.62513256,0.422899991
TNNP North+E1,TNNP North,TN,2017,-53.9699373,48.62512472,0.296799988
TNNP North+A11,TNNP North,TN,2017,-53.97533492,48.62528221,0.303149998
TNNP North+C8,TNNP North,TN,2017,-53.97370655,48.62528831,0.41505
TNNP North+A13,TNNP North,TN,2017,-53.97632019,48.62541869,0.347950011
