PlotName,Year,EVI,DEM_2016,Aspect_2016,Slope_2016,LandCover,AgeClss,HghtCls,CrwnDns,SppComp
TNNP North+I10,2016,0.394366652,71,114,6.492565632,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+I12,2016,0.353033334,88,120,10.05222988,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+I14,2016,0.32616666,90,75,4.679912567,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+I2,2016,0.327833325,64,56,1.721006155,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+I4,2016,0.333466679,55,98,6.721369267,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+I6,2016,0.436733335,54,114,5.749849319,Coniferous,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+I8,2016,0.380299985,63,117,6.69634676,Coniferous,61-80-years,9.6-12.5-meters,26-50%,bS
TNNP North+J1,2016,0.325800002,64,52,2.719923258,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+K1,2016,0.360666662,61,90,3.338470459,Mixed,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L10,2016,0.367766678,76,107,6.466625214,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L12,2016,0.333833337,83,76,5.885129452,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L14,2016,0.328966677,87,22,5.1287117,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L2,2016,0.32313332,61,18,0.754894495,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L4,2016,0.419866681,59,108,3.016961336,Coniferous,61-80-years,6.6-9.5-meters,>75%,Fen
TNNP North+L6,2016,0.352499992,57,177,4.532714367,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+L8,2016,0.351533324,69,113,7.973233223,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+M14,2016,0.324166656,83,2,5.951584339,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+N1,2016,0.400400013,58,86,3.584252357,Mixed,61-80-years,9.6-12.5-meters,26-50%,Fen
TNNP North+N11,2016,0.333466679,80,22,2.569502831,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+N13,2016,0.327733338,82,11,6.063765049,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+N3,2016,0.372500002,60,153,1.067520261,Coniferous,61-80-years,6.6-9.5-meters,>75%,Fen
TNNP North+N5,2016,0.336199999,60,172,1.687604904,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+N7,2016,0.533933342,62,108,3.769243956,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
TNNP North+N9,2016,0.384933323,71,99,9.566235542,Coniferous,61-80-years,6.6-9.5-meters,>75%,bS
Unicorn+A1,2016,0.485000014,60,27,6.379370213,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Unicorn+A11,2016,0.553133309,49,66,12.10607338,Mixed,41-60-years,9.6-12.5-meters,51-75%,wBbS
Unicorn+A13,2016,0.486200005,45,48,11.02378559,Mixed,41-60-years,6.6-9.5-meters,>75%,wBbS
Unicorn+A3,2016,0.491400003,63,40,7.416536808,Mixed,81-100-years,9.6-12.5-meters,26-50%,bSwB
Unicorn+A5,2016,0.377533346,63,31,9.651911736,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+A7,2016,0.42353332,61,59,10.68350792,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+A9,2016,0.449600011,51,34,10.53989124,Mixed,41-60-years,9.6-12.5-meters,51-75%,wBbS
Unicorn+B14,2016,0.506633341,52,57,12.57468605,Mixed,41-60-years,6.6-9.5-meters,>75%,wBbS
Unicorn+C10,2016,0.429266661,68,47,10.3573103,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+C12,2016,0.54853332,67,47,11.00901604,Mixed,41-60-years,6.6-9.5-meters,>75%,wBbS
Unicorn+C14,2016,0.5097,55,62,12.50650978,Mixed,41-60-years,6.6-9.5-meters,>75%,wBbS
Unicorn+C2,2016,0.438466668,71,36,6.466625214,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+C4,2016,0.403633326,77,4,10.1818943,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+C6,2016,0.358200014,75,56,10.53989124,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+C8,2016,0.377066672,69,39,10.07396603,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+D1,2016,0.419800013,73,35,7.832625866,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+E1,2016,0.403299987,80,32,9.256682396,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+F1,2016,0.40806666,88,12,9.191033363,Mixed,41-60-years,6.6-9.5-meters,26-50%,CS
Unicorn+F11,2016,0.51273334,79,47,8.056359291,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+F13,2016,0.491366655,71,69,11.33381653,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+F3,2016,0.434066653,90,8,10.48288155,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+F5,2016,0.40990001,90,45,8.380191803,Mixed,41-60-years,6.6-9.5-meters,26-50%,bS
Unicorn+F7,2016,0.435533345,90,66,9.321835518,Mixed,41-60-years,6.6-9.5-meters,26-50%,bS
Unicorn+F9,2016,0.442233324,76,53,7.454009533,Mixed,41-60-years,6.6-9.5-meters,>75%,wBbS
Unicorn+G14,2016,0.496300012,79,62,9.106749535,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+H14,2016,0.487166673,84,53,9.462322235,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+I10,2016,0.399066657,94,94,6.671226501,Coniferous,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+I12,2016,0.51973331,88,10,5.322852612,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+I14,2016,0.49393332,92,38,8.111279488,Mixed,41-60-years,6.6-9.5-meters,51-75%,bSwB
Unicorn+I2,2016,0.361600012,98,13,7.543149948,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+I4,2016,0.370433331,102,7,5.989218235,Mixed,41-60-years,6.6-9.5-meters,26-50%,bS
Unicorn+I6,2016,0.389499992,102,49,4.393377304,Mixed,41-60-years,6.6-9.5-meters,26-50%,bS
Unicorn+I8,2016,0.362366676,101,69,4.072588444,Coniferous,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+J1,2016,0.412966669,104,29,5.961015701,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+K1,2016,0.392199993,107,20,4.822542191,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+L10,2016,0.429800004,98,59,4.168739796,Mixed,81-100-years,9.6-12.5-meters,26-50%,bS
Unicorn+L12,2016,0.383933336,99,24,2.882181168,Coniferous,81-100-years,9.6-12.5-meters,26-50%,bS
Unicorn+L14,2016,0.395500004,103,59,5.550718307,Coniferous,81-100-years,9.6-12.5-meters,26-50%,bS
Unicorn+L2,2016,0.371600002,110,45,2.698951006,Mixed,41-60-years,6.6-9.5-meters,51-75%,bS
Unicorn+L4,2016,0.403600007,109,45,2.698951006,Coniferous,41-60-years,6.6-9.5-meters,10-25%,CS
Unicorn+L6,2016,0.424800009,108,52,2.719923258,Mixed,41-60-years,9.6-12.5-meters,26-50%,wBbS
