"","PlotName","SiteName","SiteCode","POINT_X","POINT_Y","NDMI2016","NDMI2017","coords.x1","coords.x2","coords.x3","optional"
"80","Dunphys Pond+C14","Dunphys Pond","DP",-54.1243782622,48.4312524963,0.39410001039505,0.346749991178513,712703.998217086,5368228.99846073,0,TRUE
"81","Dunphys Pond+F11","Dunphys Pond","DP",-54.1264975156,48.4313144769,0.437633335590363,0.398299992084503,712546.99823648,5368229.99849402,0,TRUE
"82","Dunphys Pond+N3","Dunphys Pond","DP",-54.1321162615,48.4314187674,0.445050001144409,0.415399998426437,712130.998234103,5368225.99847026,0,TRUE
"83","Dunphys Pond+I8","Dunphys Pond","DP",-54.1285627696,48.4313750695,0.423500001430511,0.30579999089241,712393.998217563,5368230.99849609,0,TRUE
"84","Dunphys Pond+L6","Dunphys Pond","DP",-54.130064836,48.4315925276,0.441500008106232,0.384550005197525,712281.998221052,5368250.99843395,0,TRUE
"85","Dunphys Pond+F13","Dunphys Pond","DP",-54.1257840802,48.4317375395,0.339633345603943,0.334250003099442,712597.998161138,5368278.99844856,0,TRUE
"86","Dunphys Pond+I10","Dunphys Pond","DP",-54.1278193042,48.4318513822,0.417400002479553,0.269400000572205,712446.998231227,5368285.99849841,0,TRUE
"87","Dunphys Pond+N5","Dunphys Pond","DP",-54.1315448098,48.4319623794,0.390599995851517,0.317149996757507,712170.998202414,5368287.99849467,0,TRUE
"88","Dunphys Pond+L8","Dunphys Pond","DP",-54.1294434058,48.4320628996,0.435900002717972,0.350899994373322,712325.998152465,5368304.99851455,0,TRUE
"89","Dunphys Pond+G14","Dunphys Pond","DP",-54.1258512058,48.4322251022,0.356266677379608,0.311199992895126,712590.998184211,5368332.99852024,0,TRUE
"90","Dunphys Pond+I12","Dunphys Pond","DP",-54.1270398827,48.4322458109,0.356366664171219,0.311749994754791,712502.998165568,5368331.99847379,0,TRUE
"91","Dunphys Pond+N7","Dunphys Pond","DP",-54.1307618689,48.4324197304,0.311800003051758,0.352100014686584,712226.998235906,5368340.99847503,0,TRUE
"92","Dunphys Pond+H14","Dunphys Pond","DP",-54.1260810557,48.4324647907,0.392133325338364,0.335599988698959,712572.99814855,5368358.99842065,0,TRUE
"93","Dunphys Pond+L10","Dunphys Pond","DP",-54.1286403557,48.4326367056,0.319966673851013,0.322649985551834,712382.998226079,5368370.99843347,0,TRUE
"94","Dunphys Pond+N9","Dunphys Pond","DP",-54.1301149496,48.4328624757,0.372733324766159,0.338750004768372,712272.998165764,5368391.99848072,0,TRUE
"95","Dunphys Pond+I14","Dunphys Pond","DP",-54.1264648182,48.4328522925,0.349233329296112,0.327499985694885,712542.998175038,5368400.99847948,0,TRUE
"96","Dunphys Pond+L12","Dunphys Pond","DP",-54.1279524015,48.4330874122,0.254649996757507,0.264299988746643,712431.998210523,5368422.99846423,0,TRUE
"97","Dunphys Pond+N11","Dunphys Pond","DP",-54.1293159474,48.4333644053,0.310400009155273,0.305050015449524,712329.998164553,5368449.99846891,0,TRUE
"98","Dunphys Pond+L14","Dunphys Pond","DP",-54.1273159091,48.4335843893,0.243650004267693,0.256550014019012,712476.998238743,5368479.99845518,0,TRUE
"99","Dunphys Pond+N13","Dunphys Pond","DP",-54.1285594627,48.4338313997,0.28439998626709,0.3783999979496,712383.998222196,5368503.99844989,0,TRUE
